"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"Temporary private","Limerick County","1926","Number of Persons Resident","Number",""
"Temporary private","Limerick County","1936","Number of Households","Number",""
"Temporary private","Limerick County","1936","Number of Persons Resident","Number",""
"Temporary private","Limerick County","1946","Number of Households","Number",""
"Temporary private","Limerick County","1946","Number of Persons Resident","Number",""
"Temporary private","Limerick County","1961","Number of Households","Number",""
"Temporary private","Limerick County","1961","Number of Persons Resident","Number",""
"Temporary private","Limerick County","1966","Number of Households","Number",""
"Temporary private","Limerick County","1966","Number of Persons Resident","Number",""
"Temporary private","Limerick County","1971","Number of Households","Number","122"
"Temporary private","Limerick County","1971","Number of Persons Resident","Number","467"
"Temporary private","Limerick County","1979","Number of Households","Number","367"
"Temporary private","Limerick County","1979","Number of Persons Resident","Number","1145"
"Temporary private","Limerick County","1981","Number of Households","Number","708"
"Temporary private","Limerick County","1981","Number of Persons Resident","Number","2158"
"Temporary private","Limerick County","1986","Number of Households","Number","524"
"Temporary private","Limerick County","1986","Number of Persons Resident","Number","1537"
"Temporary private","Limerick County","1991","Number of Households","Number","356"
"Temporary private","Limerick County","1991","Number of Persons Resident","Number","1087"
"Temporary private","Limerick County","1996","Number of Households","Number","253"
"Temporary private","Limerick County","1996","Number of Persons Resident","Number","718"
"Temporary private","Limerick County","2002","Number of Households","Number","237"
"Temporary private","Limerick County","2002","Number of Persons Resident","Number","698"
"Temporary private","Limerick County","2006","Number of Households","Number","232"
"Temporary private","Limerick County","2006","Number of Persons Resident","Number","644"
"Temporary private","Limerick County","2011","Number of Households","Number","161"
"Temporary private","Limerick County","2011","Number of Persons Resident","Number","407"
"Temporary private","Limerick County","2016","Number of Households","Number","141"
"Temporary private","Limerick County","2016","Number of Persons Resident","Number","314"
"Temporary private","Tipperary","1926","Number of Households","Number",""
"Temporary private","Tipperary","1926","Number of Persons Resident","Number",""
"Temporary private","Tipperary","1936","Number of Households","Number",""
"Temporary private","Tipperary","1936","Number of Persons Resident","Number",""
"Temporary private","Tipperary","1946","Number of Households","Number",""
"Temporary private","Tipperary","1946","Number of Persons Resident","Number",""
"Temporary private","Tipperary","1961","Number of Households","Number",""
"Temporary private","Tipperary","1961","Number of Persons Resident","Number",""
"Temporary private","Tipperary","1966","Number of Households","Number",""
"Temporary private","Tipperary","1966","Number of Persons Resident","Number",""
"Temporary private","Tipperary","1971","Number of Households","Number","110"
"Temporary private","Tipperary","1971","Number of Persons Resident","Number","400"
"Temporary private","Tipperary","1979","Number of Households","Number","406"
"Temporary private","Tipperary","1979","Number of Persons Resident","Number","1207"
"Temporary private","Tipperary","1981","Number of Households","Number","573"
"Temporary private","Tipperary","1981","Number of Persons Resident","Number","1559"
"Temporary private","Tipperary","1986","Number of Households","Number","525"
"Temporary private","Tipperary","1986","Number of Persons Resident","Number","1475"
"Temporary private","Tipperary","1991","Number of Households","Number","376"
"Temporary private","Tipperary","1991","Number of Persons Resident","Number","1025"
"Temporary private","Tipperary","1996","Number of Households","Number","383"
"Temporary private","Tipperary","1996","Number of Persons Resident","Number","1122"
"Temporary private","Tipperary","2002","Number of Households","Number","339"
"Temporary private","Tipperary","2002","Number of Persons Resident","Number","804"
"Temporary private","Tipperary","2006","Number of Households","Number","280"
"Temporary private","Tipperary","2006","Number of Persons Resident","Number","671"
"Temporary private","Tipperary","2011","Number of Households","Number","222"
"Temporary private","Tipperary","2011","Number of Persons Resident","Number","509"
"Temporary private","Tipperary","2016","Number of Households","Number","205"
"Temporary private","Tipperary","2016","Number of Persons Resident","Number","501"
"Temporary private","North Tipperary","1926","Number of Households","Number",""
"Temporary private","North Tipperary","1926","Number of Persons Resident","Number",""
"Temporary private","North Tipperary","1936","Number of Households","Number",""
"Temporary private","North Tipperary","1936","Number of Persons Resident","Number",""
"Temporary private","North Tipperary","1946","Number of Households","Number",""
"Temporary private","North Tipperary","1946","Number of Persons Resident","Number",""
"Temporary private","North Tipperary","1961","Number of Households","Number",""
"Temporary private","North Tipperary","1961","Number of Persons Resident","Number",""
"Temporary private","North Tipperary","1966","Number of Households","Number",""
"Temporary private","North Tipperary","1966","Number of Persons Resident","Number",""
"Temporary private","North Tipperary","1971","Number of Households","Number","67"
"Temporary private","North Tipperary","1971","Number of Persons Resident","Number","228"
"Temporary private","North Tipperary","1979","Number of Households","Number","200"
"Temporary private","North Tipperary","1979","Number of Persons Resident","Number","597"
"Temporary private","North Tipperary","1981","Number of Households","Number","305"
"Temporary private","North Tipperary","1981","Number of Persons Resident","Number","816"
"Temporary private","North Tipperary","1986","Number of Households","Number","264"
"Temporary private","North Tipperary","1986","Number of Persons Resident","Number","745"
"Temporary private","North Tipperary","1991","Number of Households","Number","199"
"Temporary private","North Tipperary","1991","Number of Persons Resident","Number","516"
"Temporary private","North Tipperary","1996","Number of Households","Number","199"
"Temporary private","North Tipperary","1996","Number of Persons Resident","Number","545"
"Temporary private","North Tipperary","2002","Number of Households","Number","187"
"Temporary private","North Tipperary","2002","Number of Persons Resident","Number","406"
"Temporary private","North Tipperary","2006","Number of Households","Number","126"
"Temporary private","North Tipperary","2006","Number of Persons Resident","Number","291"
"Temporary private","North Tipperary","2011","Number of Households","Number","92"
"Temporary private","North Tipperary","2011","Number of Persons Resident","Number","183"
"Temporary private","North Tipperary","2016","Number of Households","Number","92"
"Temporary private","North Tipperary","2016","Number of Persons Resident","Number","180"
