"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","Offaly","2011","Number of Persons Resident","Number","77338"
"All households","Offaly","2016","Number of Households","Number","27388"
"All households","Offaly","2016","Number of Persons Resident","Number","78912"
"All households","Westmeath","1926","Number of Households","Number",""
"All households","Westmeath","1926","Number of Persons Resident","Number","56818"
"All households","Westmeath","1936","Number of Households","Number",""
"All households","Westmeath","1936","Number of Persons Resident","Number","54706"
"All households","Westmeath","1946","Number of Households","Number",""
"All households","Westmeath","1946","Number of Persons Resident","Number","54949"
"All households","Westmeath","1961","Number of Households","Number",""
"All households","Westmeath","1961","Number of Persons Resident","Number","52861"
"All households","Westmeath","1966","Number of Households","Number",""
"All households","Westmeath","1966","Number of Persons Resident","Number","52900"
"All households","Westmeath","1971","Number of Households","Number",""
"All households","Westmeath","1971","Number of Persons Resident","Number","53570"
"All households","Westmeath","1979","Number of Households","Number","15298"
"All households","Westmeath","1979","Number of Persons Resident","Number","59885"
"All households","Westmeath","1981","Number of Households","Number","15913"
"All households","Westmeath","1981","Number of Persons Resident","Number","61523"
"All households","Westmeath","1986","Number of Households","Number","17114"
"All households","Westmeath","1986","Number of Persons Resident","Number","63379"
"All households","Westmeath","1991","Number of Households","Number","17703"
"All households","Westmeath","1991","Number of Persons Resident","Number","61880"
"All households","Westmeath","1996","Number of Households","Number","19216"
"All households","Westmeath","1996","Number of Persons Resident","Number","63314"
"All households","Westmeath","2002","Number of Households","Number","23436"
"All households","Westmeath","2002","Number of Persons Resident","Number","71484"
"All households","Westmeath","2006","Number of Households","Number","27137"
"All households","Westmeath","2006","Number of Persons Resident","Number","78811"
"All households","Westmeath","2011","Number of Households","Number","30811"
"All households","Westmeath","2011","Number of Persons Resident","Number","86870"
"All households","Westmeath","2016","Number of Households","Number","31877"
"All households","Westmeath","2016","Number of Persons Resident","Number","89600"
"All households","Wexford","1926","Number of Households","Number",""
"All households","Wexford","1926","Number of Persons Resident","Number","95848"
"All households","Wexford","1936","Number of Households","Number",""
"All households","Wexford","1936","Number of Persons Resident","Number","94245"
"All households","Wexford","1946","Number of Households","Number",""
"All households","Wexford","1946","Number of Persons Resident","Number","91855"
"All households","Wexford","1961","Number of Households","Number",""
"All households","Wexford","1961","Number of Persons Resident","Number","83308"
"All households","Wexford","1966","Number of Households","Number",""
"All households","Wexford","1966","Number of Persons Resident","Number","83437"
"All households","Wexford","1971","Number of Households","Number",""
"All households","Wexford","1971","Number of Persons Resident","Number","86351"
"All households","Wexford","1979","Number of Households","Number","24384"
"All households","Wexford","1979","Number of Persons Resident","Number","96421"
